"Name","unique id"
"Ropes and Twines","1663676042684x716748359479853000"
"Free State Kitchen","1663676779706x283142240261111800"
"QRS","1663677109221x862478804740735000"
"Colquitt St","1663922512310x646659733766799400"
"Wood St","1663922529540x666548504714281000"
"Lord St","1663922553948x131515583484395520"
"Dale St","1663922568957x913833441985298400"
"Stanley St","1663922589621x286457066091970560"
"Sgt Peppers","1663922606681x831219048073396200"
"Queen Avenue","1663923051266x786305329003757600"
"California Coffee and Wine","1663937113133x235010821433327600"
"One Percent Forest","1664374315898x150728621130252300"
"Hafla Baltic Market","1664703326344x846130224542515200"
"Bold St","1664703428150x778727548619849700"
"West Kirby","1664703448583x995390275828318200"
"Smithdown Rd","1664703471707x177747629900038140"
"Oh Me Oh My","1664703491681x249971838337155070"
"One Fine Day","1664703534284x943835982648574000"
"Ma Boyles","1664962991214x713065271507025900"
"Tempest","1664963027551x190963192738611200"
"Nova Scotia","1664963063920x566693557140717600"
"QSR","1666183303008x852924476787523600"
"Guest Coffee Shop","1666356578022x371735928490950660"
"Lark Lane","1667211212140x758917758619746300"
"Corner Cafe","1667249956390x201448233781690370"
"Oxford Road ","1667309712189x900274422523101200"
"Queen Sq - Liverpool ","1667379976139x482467113703571460"
"Popcorn Bar Chester","1667406347017x910235328694190100"
"Castle St (Pasta Cosa)","1667491568426x418552298239688700"
"Radius","1668182267498x474133149174779600"
"Neighbourhood Cafe","1668428067560x516126222946140200"
"The Long Shot","1668698399767x575993440200818700"
"The Lake House","1668700561574x578180516570726400"
"Castro's Cafeteria","1669046685727x995845965499859000"
"Dockleaf ","1669118253695x261802227816988670"
"Dispensary ","1669118253695x795581009406197800"
"Kelly’s Dispensary","1669118253695x815402268038266900"
"Richies ","1669224102680x782698478184693800"
"Panoramic 34","1670519117471x224287715301523460"
"Salt House Tapas","1671013781316x764826862390770200"
"Bacaro","1671013797942x138440999959855260"
"Hanover St Social","1671013814024x149266363175426750"
"Bouchon","1671013830577x401745200437181300"
"Libby's Bread & Wine","1671021195108x299236289135509500"
"R&B Head Office","1671024384956x782998644867465200"
"Test site 1 ","1673181426234x659139230519787500"
"Nikkis Cafe ","1673344370600x584659648014712800"
"Brunch Culcheth","1673442638481x958168485237096400"
"oyoshop","1674398865482x246532562462441470"
"Dockside","1674661540995x189368439506993150"
"Manchester","1674661569535x390153181187801100"
"Bold St","1674661613460x655425694579556400"
"One O'Clock Gun","1674661652980x656220890130284500"
"Example","1675073316523x836958299433992200"
"Present Company","1675687608511x444718299769733100"
"Support Office","1676382163503x161329629552443400"
"Flour Will Fly","1677509598502x183169727360401600"
"PINS","1677832823596x511752481181007900"
"Stacked Restaurant","1678959014535x935687010979414000"
"Lime St","1678959241422x774443959650353200"
"HOD Leytonstone","1679355349127x148860409348096000"
